cipcode,cip6,cip6_description,cip4,cip4_description,cip2,cip2_description
14.4101,14.4101,Electromechanical Engineering.,14.41,Electromechanical Engineering.,14,ENGINEERING.
14.4201,14.4201,"Mechatronics, Robotics, and Automation Engineering",14.42,"Mechatronics, Robotics, and Automation Engineering",14,ENGINEERING.
14.4301,14.4301,Biochemical Engineering.,14.43,Biochemical Engineering.,14,ENGINEERING.
14.4401,14.4401,Engineering Chemistry.,14.44,Engineering Chemistry.,14,ENGINEERING.
14.4501,14.4501,Biological/Biosystems Engineering.,14.45,Biological/Biosystems Engineering.,14,ENGINEERING.
14.9999,14.9999,"Engineering, Other.",14.99,"Engineering, Other.",14,ENGINEERING.
15.0000,15,"Engineering Technology, General.",15,"Engineering Technology, General.",15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0101,15.0101,Architectural Engineering Technology/Technician.,15.01,Architectural Engineering Technologies/Technicians,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0201,15.0201,Civil Engineering Technology/Technician.,15.02,Civil Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0303,15.0303,"Electrical, Electronic and Communications Engineer",15.03,Electrical Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0304,15.0304,Laser and Optical Technology/Technician.,15.03,Electrical Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0305,15.0305,Telecommunications Technology/Technician.,15.03,Electrical Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0306,15.0306,Integrated Circuit Design.,15.03,Electrical Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0399,15.0399,Electrical and Electronic Engineering Technologies,15.03,Electrical Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0401,15.0401,Biomedical Technology/Technician.,15.04,Electromechanical Instrumentation and Maintenance,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0403,15.0403,Electromechanical Technology/Electromechanical Eng,15.04,Electromechanical Instrumentation and Maintenance,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0404,15.0404,Instrumentation Technology/Technician.,15.04,Electromechanical Instrumentation and Maintenance,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0405,15.0405,Robotics Technology/Technician.,15.04,Electromechanical Instrumentation and Maintenance,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0406,15.0406,Automation Engineer Technology/Technician.,15.04,Electromechanical Instrumentation and Maintenance,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0499,15.0499,Electromechanical and Instrumentation and Maintena,15.04,Electromechanical Instrumentation and Maintenance,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0501,15.0501,"Heating, Ventilation, Air Conditioning and Refrige",15.05,Environmental Control Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0503,15.0503,Energy Management and Systems Technology/Technicia,15.05,Environmental Control Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0505,15.0505,Solar Energy Technology/Technician.,15.05,Environmental Control Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0506,15.0506,Water Quality and Wastewater Treatment Management,15.05,Environmental Control Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0507,15.0507,Environmental Engineering Technology/Environmental,15.05,Environmental Control Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0508,15.0508,Hazardous Materials Management and Waste Technolog,15.05,Environmental Control Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0599,15.0599,"Environmental Control Technologies/Technicians, Ot",15.05,Environmental Control Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0607,15.0607,Plastics and Polymer Engineering Technology/Techni,15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0611,15.0611,Metallurgical Technology/Technician.,15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0612,15.0612,Industrial Technology/Technician.,15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0613,15.0613,Manufacturing Engineering Technology/Technician.,15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0614,15.0614,Welding Engineering Technology/Technician.,15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0615,15.0615,Chemical Engineering Technology/Technician.,15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0616,15.0616,Semiconductor Manufacturing Technology.,15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0699,15.0699,"Industrial Production Technologies/Technicians, Ot",15.06,Industrial Production Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0701,15.0701,Occupational Safety and Health Technology/Technici,15.07,Quality Control and Safety Technologies/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0702,15.0702,Quality Control Technology/Technician.,15.07,Quality Control and Safety Technologies/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0703,15.0703,Industrial Safety Technology/Technician.,15.07,Quality Control and Safety Technologies/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0704,15.0704,Hazardous Materials Information Systems Technology,15.07,Quality Control and Safety Technologies/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0799,15.0799,Quality Control and Safety Technologies/Technician,15.07,Quality Control and Safety Technologies/Technician,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0801,15.0801,Aeronautical/Aerospace Engineering Technology/Tech,15.08,Mechanical Engineering Related Technologies/Techni,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0803,15.0803,Automotive Engineering Technology/Technician.,15.08,Mechanical Engineering Related Technologies/Techni,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0805,15.0805,Mechanical Engineering/Mechanical Technology/Techn,15.08,Mechanical Engineering Related Technologies/Techni,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0899,15.0899,Mechanical Engineering Related Technologies/Techni,15.08,Mechanical Engineering Related Technologies/Techni,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0901,15.0901,Mining Technology/Technician.,15.09,Mining and Petroleum Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0903,15.0903,Petroleum Technology/Technician.,15.09,Mining and Petroleum Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.0999,15.0999,"Mining and Petroleum Technologies/Technicians, Oth",15.09,Mining and Petroleum Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1001,15.1001,Construction Engineering Technology/Technician.,15.1,Construction Engineering Technologies.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1102,15.1102,Surveying Technology/Surveying.,15.11,Engineering-Related Technologies.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1103,15.1103,Hydraulics and Fluid Power Technology/Technician.,15.11,Engineering-Related Technologies.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1199,15.1199,"Engineering-Related Technologies, Other.",15.11,Engineering-Related Technologies.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1201,15.1201,Computer Engineering Technology/Technician.,15.12,Computer Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1202,15.1202,Computer Technology/Computer Systems Technology.,15.12,Computer Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1203,15.1203,Computer Hardware Technology/Technician.,15.12,Computer Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1204,15.1204,Computer Software Technology/Technician.,15.12,Computer Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1299,15.1299,"Computer Engineering Technologies/Technicians, Oth",15.12,Computer Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1301,15.1301,"Drafting and Design Technology/Technician, General",15.13,Drafting/Design Engineering Technologies/Technicia,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1302,15.1302,CAD/CADD Drafting and/or Design Technology/Technic,15.13,Drafting/Design Engineering Technologies/Technicia,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1303,15.1303,Architectural Drafting and Architectural CAD/CADD.,15.13,Drafting/Design Engineering Technologies/Technicia,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1304,15.1304,Civil Drafting and Civil Engineering CAD/CADD.,15.13,Drafting/Design Engineering Technologies/Technicia,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1305,15.1305,Electrical/Electronics Drafting and Electrical/Ele,15.13,Drafting/Design Engineering Technologies/Technicia,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1306,15.1306,Mechanical Drafting and Mechanical Drafting CAD/CA,15.13,Drafting/Design Engineering Technologies/Technicia,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1399,15.1399,Drafting/Design Engineering Technologies/Technicia,15.13,Drafting/Design Engineering Technologies/Technicia,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1401,15.1401,Nuclear Engineering Technology/Technician.,15.14,Nuclear Engineering Technologies/Technicians.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1501,15.1501,Engineering/Industrial Management.,15.15,Engineering-Related Fields.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1502,15.1502,Engineering Design.,15.15,Engineering-Related Fields.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1503,15.1503,Packaging Science.,15.15,Engineering-Related Fields.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1599,15.1599,"Engineering-Related Fields, Other.",15.15,Engineering-Related Fields.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.1601,15.1601,Nanotechnology.,15.16,Nanotechnology.,15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
15.9999,15.9999,Engineering Technologies and Engineering-Related F,15.99,"Engineering Technologies/Technicians, Other.",15,ENGINEERING TECHNOLOGIES AND ENGINEERING-RELATED F
16.0101,16.0101,"Foreign Languages and Literatures, General.",16.01,"Linguistic, Comparative, and Related Language Stud",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0102,16.0102,Linguistics.,16.01,"Linguistic, Comparative, and Related Language Stud",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0103,16.0103,Language Interpretation and Translation.,16.01,"Linguistic, Comparative, and Related Language Stud",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0104,16.0104,Comparative Literature.,16.01,"Linguistic, Comparative, and Related Language Stud",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0105,16.0105,Applied Linguistics.,16.01,"Linguistic, Comparative, and Related Language Stud",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0199,16.0199,"Linguistic, Comparative, and Related Language Stud",16.01,"Linguistic, Comparative, and Related Language Stud",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0201,16.0201,"African Languages, Literatures, and Linguistics.",16.02,"African Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0300,16.03,"East Asian Languages, Literatures, and Linguistics",16.03,"East Asian Languages, Literatures, and Linguistics",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0301,16.0301,Chinese Language and Literature.,16.03,"East Asian Languages, Literatures, and Linguistics",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0302,16.0302,Japanese Language and Literature.,16.03,"East Asian Languages, Literatures, and Linguistics",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0303,16.0303,Korean Language and Literature.,16.03,"East Asian Languages, Literatures, and Linguistics",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0304,16.0304,Tibetan Language and Literature.,16.03,"East Asian Languages, Literatures, and Linguistics",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0399,16.0399,"East Asian Languages, Literatures, and Linguistics",16.03,"East Asian Languages, Literatures, and Linguistics",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0400,16.04,"Slavic Languages, Literatures, and Linguistics, Ge",16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0401,16.0401,"Baltic Languages, Literatures, and Linguistics.",16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0402,16.0402,Russian Language and Literature.,16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0404,16.0404,Albanian Language and Literature.,16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0405,16.0405,Bulgarian Language and Literature.,16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0406,16.0406,Czech Language and Literature.,16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0407,16.0407,Polish Language and Literature.,16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0408,16.0408,"Bosnian, Serbian, and Croatian Languages and Liter",16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0409,16.0409,Slovak Language and Literature.,16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0410,16.041,Ukrainian Language and Literature.,16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0499,16.0499,"Slavic, Baltic, and Albanian Languages, Literature",16.04,"Slavic, Baltic and Albanian Languages, Literatures",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0500,16.05,"Germanic Languages, Literatures, and Linguistics,",16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0501,16.0501,German Language and Literature.,16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0502,16.0502,"Scandinavian Languages, Literatures, and Linguisti",16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0503,16.0503,Danish Language and Literature.,16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0504,16.0504,Dutch/Flemish Language and Literature.,16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0505,16.0505,Norwegian Language and Literature.,16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0506,16.0506,Swedish Language and Literature.,16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0599,16.0599,"Germanic Languages, Literatures, and Linguistics,",16.05,"Germanic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0601,16.0601,Modern Greek Language and Literature.,16.06,Modern Greek Language and Literature.,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0700,16.07,"South Asian Languages, Literatures, and Linguistic",16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0701,16.0701,Hindi Language and Literature.,16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0702,16.0702,"Sanskrit and Classical Indian Languages, Literatur",16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0704,16.0704,Bengali Language and Literature.,16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0705,16.0705,Punjabi Language and Literature.,16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0706,16.0706,Tamil Language and Literature.,16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0707,16.0707,Urdu Language and Literature.,16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0799,16.0799,"South Asian Languages, Literatures, and Linguistic",16.07,"South Asian Languages, Literatures, and Linguistic",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0801,16.0801,"Iranian Languages, Literatures, and Linguistics.",16.08,"Iranian/Persian Languages, Literatures, and Lingui",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0900,16.09,"Romance Languages, Literatures, and Linguistics, G",16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0901,16.0901,French Language and Literature.,16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0902,16.0902,Italian Language and Literature.,16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0904,16.0904,Portuguese Language and Literature.,16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0905,16.0905,Spanish Language and Literature.,16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0906,16.0906,Romanian Language and Literature.,16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0907,16.0907,Catalan Language and Literature.,16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0908,16.0908,"Hispanic and Latin American Languages, Literatures",16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.0999,16.0999,"Romance Languages, Literatures, and Linguistics, O",16.09,"Romance Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1001,16.1001,"American Indian/Native American Languages, Literat",16.1,"American Indian/Native American Languages, Literat",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1100,16.11,"Middle/Near Eastern and Semitic Languages, Literat",16.11,"Middle/Near Eastern and Semitic Languages, Literat",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1101,16.1101,Arabic Language and Literature.,16.11,"Middle/Near Eastern and Semitic Languages, Literat",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1102,16.1102,Hebrew Language and Literature.,16.11,"Middle/Near Eastern and Semitic Languages, Literat",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1103,16.1103,"Ancient Near Eastern and Biblical Languages, Liter",16.11,"Middle/Near Eastern and Semitic Languages, Literat",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1199,16.1199,"Middle/Near Eastern and Semitic Languages, Literat",16.11,"Middle/Near Eastern and Semitic Languages, Literat",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1200,16.12,"Classics and Classical Languages, Literatures, and",16.12,"Classics and Classical Languages, Literatures, and",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1202,16.1202,Ancient/Classical Greek Language and Literature.,16.12,"Classics and Classical Languages, Literatures, and",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1203,16.1203,Latin Language and Literature.,16.12,"Classics and Classical Languages, Literatures, and",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1299,16.1299,"Classics and Classical Languages, Literatures, and",16.12,"Classics and Classical Languages, Literatures, and",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1301,16.1301,"Celtic Languages, Literatures, and Linguistics.",16.13,"Celtic Languages, Literatures, and Linguistics.",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1400,16.14,"Southeast Asian Languages, Literatures, and Lingui",16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1401,16.1401,"Australian/Oceanic/Pacific Languages, Literatures,",16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1402,16.1402,Indonesian/Malay Languages and Literatures.,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1403,16.1403,Burmese Language and Literature.,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1404,16.1404,Filipino/Tagalog Language and Literature.,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1405,16.1405,Khmer/Cambodian Language and Literature.,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1406,16.1406,Lao Language and Literature.,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1407,16.1407,Thai Language and Literature.,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1408,16.1408,Vietnamese Language and Literature.,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1499,16.1499,Southeast Asian and Australasian/Pacific Languages,16.14,Southeast Asian and Australasian/Pacific Languages,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1501,16.1501,Turkish Language and Literature.,16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asia",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1502,16.1502,"Uralic Languages, Literatures, and Linguistics.",16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asia",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1503,16.1503,Hungarian/Magyar Language and Literature.,16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asia",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1504,16.1504,Mongolian Language and Literature.,16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asia",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1599,16.1599,"Turkic, Uralic-Altaic, Caucasian, and Central Asia",16.15,"Turkic, Uralic-Altaic, Caucasian, and Central Asia",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1601,16.1601,American Sign Language (ASL).,16.16,American Sign Language.,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1602,16.1602,Linguistics of ASL and Other Sign Languages.,16.16,American Sign Language.,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1603,16.1603,Sign Language Interpretation and Translation.,16.16,American Sign Language.,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.1699,16.1699,"American Sign Language, Other.",16.16,American Sign Language.,16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
16.9999,16.9999,"Foreign Languages, Literatures, and Linguistics, O",16.99,"Foreign Languages, Literatures, and Linguistics, O",16,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS."
19.0000,19,Work and Family Studies.,19,Work and Family Studies.,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0101,19.0101,"Family and Consumer Sciences/Human Sciences, Gener",19.01,"Family and Consumer Sciences/Human Sciences, Gener",19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0201,19.0201,Business Family and Consumer Sciences/Human Scienc,19.02,Family and Consumer Sciences/Human Sciences Busine,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0202,19.0202,Family and Consumer Sciences/Human Sciences Commun,19.02,Family and Consumer Sciences/Human Sciences Busine,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0203,19.0203,Consumer Merchandising/Retailing Management.,19.02,Family and Consumer Sciences/Human Sciences Busine,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0299,19.0299,Family and Consumer Sciences/Human Sciences Busine,19.02,Family and Consumer Sciences/Human Sciences Busine,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0401,19.0401,"Family Resource Management Studies, General.",19.04,Family and Consumer Economics and Related Studies.,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0402,19.0402,Consumer Economics.,19.04,Family and Consumer Economics and Related Studies.,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0403,19.0403,Consumer Services and Advocacy.,19.04,Family and Consumer Economics and Related Studies.,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0499,19.0499,Family and Consumer Economics and Related Services,19.04,Family and Consumer Economics and Related Studies.,19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0501,19.0501,"Foods, Nutrition, and Wellness Studies, General.",19.05,"Foods, Nutrition, and Related Services.",19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
19.0504,19.0504,Human Nutrition.,19.05,"Foods, Nutrition, and Related Services.",19,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES.
